stop,2022-02-22 17:00:00,2022-02-23 17:00:00,2022-02-24 17:00:00,0,1,2
5105282,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105283,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105284,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105285,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105286,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105287,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105288,17.657354140339123,17.657354140339123,17.657354140339123,-93.98557,39.91638,45.146107
5105289,11.733005951672782,11.733005951672782,11.733005951672782,-60.153816,24.863316,29.329409
5105290,8.843521637590865,0.0,8.843521637590865,-11.833669,12.197156,17.544819
5105291,7.0671017924536175,7.0671017924536175,7.0671017924536175,-33.508575,13.0078125,16.872482
5105292,6.421633645029398,6.421633645029398,6.421633645029398,-29.822548,11.367757,15.149226
5105293,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105294,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105295,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105296,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105297,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105298,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105299,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105300,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105301,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105303,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105304,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5105913,4.183287182026476,4.183287182026476,4.183287182026476,-17.040178,5.6803846,9.17334
5105914,2.73155117626246,0.0,0.0,-1.5929699,-2.215788,-4.3680105
5105915,4.530294800429601,0.0,0.0,-7.1520724,-0.41605067,-5.9305825
5105916,5.707168200558501,0.0,5.707168200558501,-5.207856,6.116329,10.614988
5105917,6.811173487406723,6.811173487406723,6.811173487406723,-32.047062,12.357531,16.189213
5105918,8.75147646221137,8.75147646221137,8.75147646221137,-43.12741,17.28761,21.369389
5105919,10.852830249850584,10.852830249850584,10.852830249850584,-55.127464,22.626896,26.979534
5106842,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5106843,7.458894248558498,0.0,0.0,-16.203049,2.5141659,-8.474663
5106844,10.519757262409884,10.519757262409884,10.519757262409884,-53.225407,21.7806,26.09031
5106845,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5106846,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5106847,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5107623,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5107624,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5107625,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5107626,0.0,0.0,6.36007802803482,13.068938,1.0186131,17.582619
5107627,0.0,6.488579100429241,6.488579100429241,-10.151587,5.0456944,20.9646
5107628,6.728630939861057,6.728630939861057,6.728630939861057,-31.575695,12.1478,15.968841
5107629,6.749811054334063,6.749811054334063,6.749811054334063,-31.696646,12.201615,16.025387
5107630,6.686181528851165,6.686181528851165,6.686181528851165,-31.333279,12.039939,15.855511
5107631,6.761153693476942,6.761153693476942,6.761153693476942,-31.76142,12.230434,16.05567
5107632,6.763112950095057,6.763112950095057,6.763112950095057,-31.77261,12.235415,16.060902
5107633,6.73979287766389,6.73979287766389,6.73979287766389,-31.639437,12.176162,15.998641
5107634,24.01191487529016,24.01191487529016,24.01191487529016,-130.27411,56.06256,62.111362
5107635,9.746215824522086,0.0,9.746215824522086,-13.740683,13.947319,19.539341
5107636,27.889245489966,27.889245489966,27.889245489966,-152.4161,65.9144,72.46298
5107637,8.862539173410575,8.862539173410575,8.862539173410575,-43.76165,17.569805,21.665903
5107638,6.395530131745199,6.395530131745199,6.395530131745199,-29.673477,11.30143,15.079536
5107639,0.0,6.180504828598419,6.180504828598419,-9.344406,4.571158,19.874483
5107640,0.0,5.789513388054719,0.0,-13.981909,-1.4632149,0.6695671
5107641,0.0,2.387533532796418,0.0,-1.7414341,-3.5114102,-0.8962232
5107642,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5107643,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5107644,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5107912,0.0,2.7595167486867265,0.0,-3.079846,-3.287454,-0.7250142
5107913,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5107914,2.8746170530780657,2.8746170530780657,0.0,-12.37812,-0.34195185,-3.1692252
5107915,4.626408744192474,4.626408744192474,4.626408744192474,-19.570684,6.8063025,10.356375
