stop,2022-02-25 15:00:00,2022-02-25 15:10:00,2022-02-25 15:20:00,2022-02-25 15:30:00,2022-02-25 15:40:00,2022-02-25 15:50:00,2022-02-25 16:00:00,2022-02-25 16:10:00,2022-02-25 16:20:00,2022-02-25 16:30:00,2022-02-25 16:40:00,2022-02-25 16:50:00,0,1,2,3,4,5,6,7,8,9,10,11
5103412,2.8323279508069,0.0,2.8323279508069,0.0,0.0,0.0,2.8323279508069,0.0,0.0,0.0,2.8323279508069,0.0,-13.536119,-13.862164,-5.535906,-43.80996,9.631819,3.0277362,16.548386,22.830887,-7.980921,23.351196,14.623604,11.268655
5103413,2.7085513959566674,0.0,2.7085513959566674,0.0,0.0,0.0,2.7085513959566674,0.0,0.0,0.0,2.7085513959566674,0.0,-14.058336,-14.576174,-5.1142,-41.577454,9.938555,3.0977602,16.328733,22.200405,-8.349298,24.014158,14.519853,10.172716
5103414,2.68928391967367,0.0,2.68928391967367,0.0,0.0,0.0,2.68928391967367,0.0,0.0,0.0,2.68928391967367,0.0,-14.139625,-14.687319,-5.0485563,-41.229935,9.986301,3.1086602,16.294542,22.10226,-8.406641,24.11736,14.503701,10.002117
5103415,2.4416632764234487,0.0,2.4416632764234487,0.0,0.0,0.0,2.4416632764234487,0.0,0.0,0.0,0.0,0.0,-13.780624,-19.940224,-8.205398,-34.63948,8.380163,4.1008806,22.624441,15.156725,-4.5881157,34.073086,20.478403,9.924099
5103416,2.3511743464390835,0.0,2.3511743464390835,0.0,0.0,0.0,2.3511743464390835,0.0,0.0,0.0,0.0,0.0,-14.21442,-20.320477,-7.748843,-33.086086,8.686674,4.120492,22.212988,14.906458,-5.026252,34.237953,20.173443,9.044531
5103417,2.340937658724223,0.0,2.340937658724223,0.0,0.0,0.0,2.340937658724223,0.0,0.0,0.0,0.0,0.0,-14.263494,-20.363493,-7.697196,-32.910355,8.721349,4.12271,22.166443,14.878148,-5.0758157,34.256603,20.138939,8.945026
5103418,2.326833699572169,0.0,2.326833699572169,0.0,0.0,0.0,2.326833699572169,0.0,0.0,0.0,0.0,0.0,-14.331108,-20.42276,-7.626035,-32.668243,8.769121,4.125766,22.10231,14.839142,-5.144107,34.2823,20.091406,8.807936
5103419,0.0,2.0924450170102964,2.0924450170102964,0.0,0.0,0.0,2.0924450170102964,0.0,0.0,0.0,0.0,0.0,-18.235218,-18.592722,1.6453414,-16.661135,15.008627,12.783857,11.718438,20.98458,-3.718319,40.552895,10.945991,-4.5542703
5103420,0.0,2.0149660494355865,2.0149660494355865,0.0,0.0,0.0,2.0149660494355865,0.0,0.0,0.0,0.0,0.0,-18.503689,-19.022537,1.7367439,-15.774807,15.069429,12.481937,11.711169,20.518738,-4.188281,40.47768,10.994258,-4.8969655
5103881,4.140738747051012,4.140738747051012,4.140738747051012,4.140738747051012,0.0,4.140738747051012,0.0,4.140738747051012,4.140738747051012,4.140738747051012,0.0,4.140738747051012,-5.871949,-24.617985,14.024156,-61.400703,53.009697,-14.771708,37.365215,-1.5589733,-12.478072,39.85211,-18.206638,21.103865
5103883,2.7978751233501544,2.7978751233501544,2.7978751233501544,2.7978751233501544,2.7978751233501544,0.0,0.0,0.0,2.7978751233501544,2.7978751233501544,0.0,0.0,-18.316063,-36.56234,-3.9547224,-17.656033,24.47438,-3.2428336,28.261791,7.162674,-9.696217,32.92785,-25.508587,14.384667
5103884,3.6786666446012073,3.6786666446012073,3.6786666446012073,3.6786666446012073,3.6786666446012073,0.0,3.6786666446012073,0.0,3.6786666446012073,3.6786666446012073,0.0,0.0,-17.549528,-22.083149,-17.785961,-40.50305,11.655992,1.4016178,51.77243,5.9331894,1.703475,28.29776,-25.704393,39.53046
5103885,4.2838705704118745,4.2838705704118745,4.2838705704118745,4.2838705704118745,4.2838705704118745,4.2838705704118745,4.2838705704118745,0.0,4.2838705704118745,4.2838705704118745,0.0,0.0,-8.028216,-19.36398,-12.472721,-50.43312,21.840193,-0.68877506,55.745476,11.916281,7.239577,38.07244,-44.11554,42.15946
5103886,4.692956726922293,4.692956726922293,4.692956726922293,4.692956726922293,4.692956726922293,4.692956726922293,0.0,4.692956726922293,4.692956726922293,4.692956726922293,0.0,0.0,-13.238089,-35.74581,5.1049576,-62.223774,60.52704,-12.781916,33.5781,11.783871,-24.987097,37.923843,-39.068043,21.768827
5103887,7.318257626921508,7.318257626921508,7.318257626921508,7.318257626921508,7.318257626921508,7.318257626921508,0.0,7.318257626921508,7.318257626921508,0.0,7.318257626921508,0.0,-25.620895,-15.365407,23.661034,-101.016624,90.5812,-7.394459,16.591173,54.34407,-51.46924,14.015647,-85.50924,5.3860903
5103888,7.334575692982919,7.334575692982919,7.334575692982919,7.334575692982919,7.334575692982919,7.334575692982919,0.0,7.334575692982919,7.334575692982919,0.0,7.334575692982919,0.0,-25.621197,-15.332329,23.704618,-101.2581,90.74605,-7.4212723,16.602474,54.44651,-51.54741,13.960996,-85.7272,5.428889
5103889,7.735201398630259,7.735201398630259,7.735201398630259,7.735201398630259,7.735201398630259,7.735201398630259,0.0,7.735201398630259,7.735201398630259,0.0,7.735201398630259,0.0,-25.628597,-14.5202,24.774698,-107.186386,94.793236,-8.079532,16.879963,56.961426,-53.466656,12.619462,-91.07885,6.4797177
5103890,7.820931263547468,7.820931263547468,7.820931263547468,7.820931263547468,7.820931263547468,7.820931263547468,0.0,7.820931263547468,7.820931263547468,0.0,7.820931263547468,0.0,-25.630182,-14.34642,25.003689,-108.45499,95.6593,-8.220388,16.939356,57.499603,-53.877342,12.33239,-92.224045,6.704577
5103891,25.823308828871617,25.823308828871617,25.823308828871617,25.823308828871617,25.823308828871617,25.823308828871617,25.823308828871617,25.823308828871617,25.823308828871617,25.823308828871617,25.823308828871617,25.823308828871617,-15.750206,162.72366,-48.276752,-524.4874,192.37296,-54.47801,278.2169,-40.225224,-21.521965,-66.74107,-268.755,298.34027
